Posicao;Codigo;Total;IPTS (%);Energia Injetada;Perda Propria
jan/21;MAZ  0101;0;0;0;0
jan/21;MAZ  0100;0;0;0;0
jan/21;MAZ  0112;55,809;4,138;1.348,85;5,532
jan/21;MAZ  0114;129,256;4,481;2.884,23;22,066
jan/21;MAZ  0113;171,587;5,147;3.333,69;42,178
jan/21;MAZ  0108;163,019;5,353;3.045,14;38,393
jan/21;MAZ  0111;117,635;3,746;3.140,58;21,944
jan/21;MAZ  0104;109,074;4,697;2.322,36;19,24
jan/21;MAZ  0115;133,764;4,222;3.168,49;24,509
jan/21;MAZ  0110;142,933;4,833;2.957,70;20,63
jan/21;MAZ  0103;121,953;3,993;3.054,39;16,768
jan/21;MAZ  0107;230,449;6,48;3.556,14;78,094
jan/21;MAZ  0102;199,088;4,363;4.562,57;36,492
jan/21;MAZ  0109;327,318;7,065;4.632,64;162,158
jan/21;MAZ  0105;200,599;5,15;3.895,34;36,131
jan/21;MAZ  0106;395,706;7,237;5.467,81;186,988
jan/21;EMB  0101;0;0;0;0
jan/21;EMB  0100;0;0;0;0
jan/21;EMB  0111;37,225;4,374;850,96;1,626
jan/21;EMB  0112;199,697;5,877;3.398,14;27,036
jan/21;EMB  0104;100,032;4,944;2.023,17;14,962
jan/21;EMB  0103;115,696;4,495;2.574,02;23,471
jan/21;EMB  0110;100,619;4,715;2.134,25;19,079
jan/21;EMB  0108;145,67;4,909;2.967,66;36,153
jan/21;EMB  0113;155,163;5,229;2.967,23;48,835
jan/21;EMB  0102;216,576;6,115;3.541,86;70,332
jan/21;EMB  0105;172,821;5,185;3.333,16;47,464
jan/21;EMB  0114;222,526;5,811;3.829,24;74,255
jan/21;EMB  0115;286,838;6,034;4.754,01;71,043
jan/21;EMB  0107;378,782;6,836;5.540,76;202,642
jan/21;EMB  0109;419,398;6,707;6.253,06;127,909
jan/21;EMB  0106;323,234;6,299;5.131,26;172,739
fev/21;MAZ  0101;0;0;0;0
fev/21;MAZ  0100;0;0;0;0
fev/21;MAZ  0112;50,913;4,142;1.229,09;5,22
fev/21;MAZ  0114;113,573;4,329;2.623,52;19,703
fev/21;MAZ  0113;169,713;5,731;2.961,12;36,797
fev/21;MAZ  0108;130,405;4,923;2.648,93;32,836
fev/21;MAZ  0111;108,846;3,832;2.840,19;20,648
fev/21;MAZ  0115;126,875;4,31;2.943,76;23,033
fev/21;MAZ  0104;99,961;4,719;2.118,13;17,941
fev/21;MAZ  0110;135,935;4,984;2.727,49;19,843
fev/21;MAZ  0103;113,37;4,019;2.820,56;16,508
fev/21;MAZ  0107;205,152;6,424;3.193,41;67,678
fev/21;MAZ  0102;178,042;4,353;4.089,78;31,045
fev/21;MAZ  0109;319,572;7,573;4.220,01;148,923
fev/21;MAZ  0105;167,186;4,761;3.511,42;35,026
fev/21;MAZ  0106;370,238;7,516;4.926,08;169,579
fev/21;EMB  0101;0;0;0;0
fev/21;EMB  0100;0;0;0;0
fev/21;EMB  0111;34,343;4,353;788,949;1,517
fev/21;EMB  0112;186,675;6,067;3.076,96;24,659
fev/21;EMB  0104;96,52;5,171;1.866,72;14,278
fev/21;EMB  0103;100,456;4,658;2.156,74;18,076
fev/21;EMB  0110;89,68;4,36;2.057,06;18,894
fev/21;EMB  0108;130,011;4,796;2.710,96;32,648
fev/21;EMB  0113;147,452;5,213;2.828,80;49,516
fev/21;EMB  0102;198,654;6,143;3.233,63;63,489
fev/21;EMB  0105;152,955;5,101;2.998,70;44,28
fev/21;EMB  0114;211,066;5,923;3.563,54;72,434
fev/21;EMB  0115;261,267;6,108;4.277,43;65,149
fev/21;EMB  0107;334,445;6,745;4.958,68;178,82
fev/21;EMB  0109;361,765;6,46;5.600,10;112,244
fev/21;EMB  0106;304,13;6,401;4.751,52;163,398
mar/21;MAZ  0101;0;0;0;0
mar/21;MAZ  0100;0;0;0;0
mar/21;MAZ  0112;54,146;3,956;1.368,58;6,016
mar/21;MAZ  0114;138,283;4,724;2.927,30;25,227
mar/21;MAZ  0113;176,123;5,21;3.380,17;46,186
mar/21;MAZ  0108;182,509;5,791;3.151,44;44,937
mar/21;MAZ  0111;122,898;3,916;3.138,15;23,843
mar/21;MAZ  0104;112,578;4,725;2.382,78;19,745
mar/21;MAZ  0110;155,443;5,302;2.931,58;22,211
mar/21;MAZ  0103;146,726;4,782;3.068,52;18,577
