Posicao;Codigo;Total;IPTS (%);Energia Injetada;Perda Propria
jan/21;EMB  0101;0;0;0;0
jan/21;EMB  0100;0;0;0;0
jan/21;EMB  0111;37,225;4,374;850,96;1,626
jan/21;EMB  0112;199,697;5,877;3.398,14;27,036
jan/21;EMB  0104;100,032;4,944;2.023,17;14,962
jan/21;EMB  0103;115,696;4,495;2.574,02;23,471
jan/21;EMB  0110;100,619;4,715;2.134,25;19,079
jan/21;EMB  0108;145,67;4,909;2.967,66;36,153
jan/21;EMB  0113;155,163;5,229;2.967,23;48,835
jan/21;EMB  0102;216,576;6,115;3.541,86;70,332
jan/21;EMB  0105;172,821;5,185;3.333,16;47,464
jan/21;EMB  0114;222,526;5,811;3.829,24;74,255
jan/21;EMB  0115;286,838;6,034;4.754,01;71,043
jan/21;EMB  0107;378,782;6,836;5.540,76;202,642
jan/21;EMB  0109;419,398;6,707;6.253,06;127,909
jan/21;EMB  0106;323,234;6,299;5.131,26;172,739
fev/21;EMB  0101;0;0;0;0
fev/21;EMB  0100;0;0;0;0
fev/21;EMB  0111;34,343;4,353;788,949;1,517
fev/21;EMB  0112;186,675;6,067;3.076,96;24,659
fev/21;EMB  0104;96,52;5,171;1.866,72;14,278
fev/21;EMB  0103;100,456;4,658;2.156,74;18,076
fev/21;EMB  0110;89,68;4,36;2.057,06;18,894
fev/21;EMB  0108;130,011;4,796;2.710,96;32,648
fev/21;EMB  0113;147,452;5,213;2.828,80;49,516
fev/21;EMB  0102;198,654;6,143;3.233,63;63,489
fev/21;EMB  0105;152,955;5,101;2.998,70;44,28
fev/21;EMB  0114;211,066;5,923;3.563,54;72,434
fev/21;EMB  0115;261,267;6,108;4.277,43;65,149
fev/21;EMB  0107;334,445;6,745;4.958,68;178,82
fev/21;EMB  0109;361,765;6,46;5.600,10;112,244
fev/21;EMB  0106;304,13;6,401;4.751,52;163,398
mar/21;EMB  0101;0;0;0;0
mar/21;EMB  0100;0;0;0;0
mar/21;EMB  0111;40,462;4,512;896,806;1,75
mar/21;EMB  0112;213,45;6,183;3.452,33;28,001
mar/21;EMB  0104;116,688;5,603;2.082,68;16,989
mar/21;EMB  0103;119,469;4,689;2.547,80;24,862
mar/21;EMB  0110;138,421;6,089;2.273,39;22,145
mar/21;EMB  0108;143,94;4,83;2.980,40;37,515
mar/21;EMB  0113;153,033;4,935;3.101,12;52,975
mar/21;EMB  0102;218,229;6,123;3.564,22;72,667
mar/21;EMB  0105;177,036;5,222;3.390,28;48,896
mar/21;EMB  0114;225,292;5,738;3.926,37;80,345
mar/21;EMB  0115;304,732;6,351;4.798,53;79,422
mar/21;EMB  0107;390,79;7,076;5.522,52;218,475
mar/21;EMB  0109;406,844;6,374;6.382,46;144,336
mar/21;EMB  0106;337,993;6,438;5.249,75;182,361
abr/21;EMB  0101;0;0;0;0
abr/21;EMB  0100;0;0;0;0
abr/21;EMB  0111;37,075;4,492;825,301;1,597
abr/21;EMB  0112;185,645;5,969;3.110,34;23,967
abr/21;EMB  0104;102,574;5,529;1.855,27;14,835
abr/21;EMB  0103;108,419;4,632;2.340,82;22,428
abr/21;EMB  0110;98,506;5,006;1.967,90;17,717
abr/21;EMB  0108;150,933;5,55;2.719,69;35,978
abr/21;EMB  0113;137,123;4,915;2.790,00;46,549
abr/21;EMB  0102;213,629;6,491;3.290,98;66,872
abr/21;EMB  0105;155,911;5,14;3.033,17;41,998
abr/21;EMB  0114;203,079;5,634;3.604,35;71,287
abr/21;EMB  0115;281,341;6,435;4.371,71;69,459
abr/21;EMB  0107;342,281;6,967;4.912,59;188,827
abr/21;EMB  0109;348,16;6,221;5.596,47;117,14
abr/21;EMB  0106;317,508;6,502;4.883,08;168,555
mai/21;EMB  0101;0;0;0;0
mai/21;EMB  0100;0;0;0;0
mai/21;EMB  0111;39,535;4,439;890,552;1,757
mai/21;EMB  0112;194,449;6,158;3.157,75;25,095
mai/21;EMB  0104;118,117;6,004;1.967,46;16,181
mai/21;EMB  0103;117,356;4,809;2.440,42;24,28
mai/21;EMB  0110;103,608;5,173;2.002,91;18,176
mai/21;EMB  0108;135,091;4,915;2.748,78;34,238
mai/21;EMB  0113;137,48;4,876;2.819,50;47,278
mai/21;EMB  0102;205,878;6,126;3.360,68;66,855
mai/21;EMB  0105;148,697;4,684;3.174,43;47,45
mai/21;EMB  0114;210,651;5,768;3.652,15;73,274
mai/21;EMB  0115;277,366;6,268;4.425,39;70,324
mai/21;EMB  0107;337,079;6,529;5.162,97;206,198
mai/21;EMB  0109;354,876;6,149;5.771,67;121,066
mai/21;EMB  0106;354,669;6,927;5.120,29;181,512
jun/21;EMB  0101;0;0;0;0
jun/21;EMB  0100;0;0;0;0
jun/21;EMB  0111;40,146;4,411;910,208;1,889
jun/21;EMB  0112;187,295;6,173;3.033,87;23,557
jun/21;EMB  0104;105,199;5,691;1.848,62;14,531
jun/21;EMB  0103;109,303;4,714;2.318,70;21,88
jun/21;EMB  0110;96,615;4,914;1.966,06;17,515
jun/21;EMB  0108;129,056;4,854;2.658,97;32,653
jun/21;EMB  0113;136,972;4,915;2.787,03;46,276
jun/21;EMB  0102;198,357;6,049;3.279,21;66,551
jun/21;EMB  0105;150,684;5,06;2.977,66;40,3
jun/21;EMB  0114;265,455;7,089;3.744,55;79,879
jun/21;EMB  0115;254,784;6,104;4.174,21;65,33
jun/21;EMB  0107;336,288;6,609;5.088,66;204,418
jun/21;EMB  0109;352,133;6,237;5.645,46;118,29
jun/21;EMB  0106;325,819;6,62;4.921,87;177,199
jul/21;EMB  0101;0;0;0;0
jul/21;EMB  0100;0;0;0;0
jul/21;EMB  0111;38,192;4,432;861,794;1,67
jul/21;EMB  0112;185,896;6,125;3.035,23;22,786
jul/21;EMB  0104;106,912;5,628;1.899,76;15,269
jul/21;EMB  0103;117,233;4,971;2.358,28;22,727
jul/21;EMB  0110;98,081;4,957;1.978,54;17,259
jul/21;EMB  0108;136,047;5,01;2.715,42;33,099
jul/21;EMB  0113;135,633;4,949;2.740,68;44,511
jul/21;EMB  0102;203,499;6,265;3.248,42;65,597
jul/21;EMB  0105;143,189;4,656;3.075,25;45,073
jul/21;EMB  0114;201,896;5,724;3.527,18;69,041
jul/21;EMB  0115;256,292;6,099;4.202,47;62,992
jul/21;EMB  0107;332,727;6,537;5.089,59;203,555
jul/21;EMB  0109;371,217;6,485;5.723,95;117,651
jul/21;EMB  0106;329,299;6,468;5.090,83;179,683
ago/21;EMB  0101;0;0;0;0
ago/21;EMB  0100;0;0;0;0
ago/21;EMB  0111;38,821;4,452;871,927;1,675
ago/21;EMB  0112;190,035;6,116;3.107,20;24,009
ago/21;EMB  0104;110,894;5,745;1.930,32;15,181
ago/21;EMB  0103;111,822;4,773;2.343,00;22,275
ago/21;EMB  0110;104,024;5,03;2.068,06;19,137
ago/21;EMB  0108;136,317;4,929;2.765,61;33,643
ago/21;EMB  0113;142,926;4,899;2.917,64;50,74
ago/21;EMB  0102;209,88;6,261;3.352,30;67,18
ago/21;EMB  0105;164,86;5,273;3.126,37;43,206
ago/21;EMB  0114;210,381;5,755;3.655,48;71,784
ago/21;EMB  0115;283,357;6,449;4.393,62;68,692
ago/21;EMB  0107;379,729;7,212;5.265,39;208,887
ago/21;EMB  0109;373,815;6,378;5.860,74;123,898
ago/21;EMB  0106;332,533;6,53;5.092,30;179,611
set/21;EMB  0101;0;0;0;0
set/21;EMB  0100;0;0;0;0
set/21;EMB  0111;35,691;4,259;837,956;1,575
set/21;EMB  0112;189,606;6,037;3.140,52;24,812
set/21;EMB  0104;105,533;5,59;1.887,84;14,733
set/21;EMB  0103;109,758;4,788;2.292,17;21,192
set/21;EMB  0110;98,394;4,957;1.985,14;17,862
set/21;EMB  0108;133,735;4,931;2.712,03;35,434
set/21;EMB  0113;134,331;4,804;2.796,21;46,372
set/21;EMB  0102;212,18;6,372;3.329,75;67,673
set/21;EMB  0105;140,87;4,542;3.101,66;45,337
set/21;EMB  0114;211,452;5,872;3.600,82;70,724
set/21;EMB  0115;267,179;6,104;4.377,07;68,895
set/21;EMB  0107;353,292;6,734;5.246,39;219,264
set/21;EMB  0109;372,764;6,45;5.778,99;121,054
set/21;EMB  0106;315,192;6,493;4.854,60;168,034
out/21;EMB  0115;263,373;5,894;4.468,38;69,473
out/21;EMB  0114;213,502;5,804;3.678,52;70,947
out/21;EMB  0113;138,636;4,822;2.874,88;48,033
out/21;EMB  0112;174,667;5,546;3.149,40;22,608
out/21;EMB  0111;40,797;4,649;877,614;1,756
out/21;EMB  0110;103,029;4,645;2.217,95;20,413
out/21;EMB  0109;366,433;6,332;5.786,91;117,024
out/21;EMB  0108;139,687;4,863;2.872,43;37,541
out/21;EMB  0107;366,286;7,063;5.186,21;205,192
out/21;EMB  0106;308,559;6,276;4.916,81;161,786
out/21;EMB  0105;159,216;5,056;3.148,77;42,988
out/21;EMB  0104;104,523;5,635;1.855,03;14,274
out/21;EMB  0103;83,045;4,565;1.819,08;13,796
out/21;EMB  0102;205,491;6,071;3.384,63;67,838
out/21;EMB  0101;0;0;0;0
out/21;EMB  0100;0;0;0;0
nov/21;EMB  0115;255,994;5,789;4.421,88;67,472
nov/21;EMB  0114;212,792;5,882;3.617,84;69,063
nov/21;EMB  0113;135,713;4,793;2.831,36;46,27
nov/21;EMB  0112;175,882;5,601;3.140,27;22,914
nov/21;EMB  0111;35,802;4,387;816,12;1,531
nov/21;EMB  0110;89,725;4,569;1.963,94;16,282
nov/21;EMB  0109;362,121;6,258;5.786,13;115,932
nov/21;EMB  0108;133,784;4,793;2.791,27;35,399
nov/21;EMB  0107;354,748;6,903;5.139,09;201,726
nov/21;EMB  0106;288,689;6,117;4.719,16;147,682
nov/21;EMB  0105;153,601;4,997;3.073,63;41,143
nov/21;EMB  0104;97,497;5,348;1.822,95;13,421
nov/21;EMB  0103;75,602;4,575;1.652,52;11,765
nov/21;EMB  0102;204,634;6,088;3.361,32;65,253
nov/21;EMB  0101;0;0;0;0
nov/21;EMB  0100;0;0;0;0
dez/21;EMB  0115;322,194;6,958;4.630,72;70,879
dez/21;EMB  0114;214,976;5,718;3.759,38;72,155
dez/21;EMB  0113;136,449;4,802;2.841,69;45,44
dez/21;EMB  0112;180,061;5,484;3.283,67;24,122
dez/21;EMB  0111;36,534;4,382;833,635;1,539
dez/21;EMB  0110;99,583;4,624;2.153,42;18,975
dez/21;EMB  0109;353,157;6,045;5.842,06;118,41
dez/21;EMB  0108;139,975;4,835;2.894,90;37,283
dez/21;EMB  0107;371,375;6,959;5.336,29;205,872
dez/21;EMB  0106;296,338;6,127;4.836,33;148,693
dez/21;EMB  0105;162,564;5,073;3.204,45;43,591
dez/21;EMB  0104;100,471;5,385;1.865,85;14,169
dez/21;EMB  0103;82,571;4,566;1.808,21;13,658
dez/21;EMB  0102;213,282;6,162;3.461,07;70,199
dez/21;EMB  0101;0;0;0;0
dez/21;EMB  0100;0;0;0;0
jan/22;EMB  0115;267,279;5,702;4.687,31;73,728
jan/22;EMB  0114;211,118;5,651;3.736,23;73,267
jan/22;EMB  0113;134,658;4,755;2.831,63;44,242
jan/22;EMB  0112;184,351;5,571;3.309,31;25,331
jan/22;EMB  0111;35,602;4,246;838,512;1,579
jan/22;EMB  0110;91,531;4,445;2.059,26;17,43
jan/22;EMB  0109;372,852;6,287;5.930,86;122,488
jan/22;EMB  0108;140,401;4,734;2.965,73;37,706
jan/22;EMB  0107;363,609;6,742;5.393,60;208,455
jan/22;EMB  0106;289,047;6,009;4.810,41;151,285
jan/22;EMB  0105;154,898;4,957;3.124,87;40,944
jan/22;EMB  0104;98,042;5,173;1.895,37;14,794
jan/22;EMB  0103;73,545;4,289;1.714,85;12,704
jan/22;EMB  0102;210,135;6,079;3.456,68;69,787
jan/22;EMB  0101;0;0;0;0
jan/22;EMB  0100;0;0;0;0
fev/22;EMB  0115;277,263;6,256;4.431,75;70,812
fev/22;EMB  0114;237,89;6,93;3.432,70;68,322
fev/22;EMB  0113;130,302;4,854;2.684,28;43,565
fev/22;EMB  0112;178,732;5,887;3.035,86;22,598
fev/22;EMB  0111;34,264;4,385;781,389;1,451
fev/22;EMB  0110;91,342;4,772;1.914,24;15,906
fev/22;EMB  0109;363,402;6,436;5.646,33;120,052
fev/22;EMB  0108;136,999;4,945;2.770,22;37,176
fev/22;EMB  0107;357,988;6,971;5.135,14;218,638
fev/22;EMB  0106;300,911;6,45;4.665,39;156,847
