Meses;Codigo;Total;IPTS (%);PPT (%);Trafo(cu);Trafo(fe)
jan/21;AAA  0101;0;0;0;0;0
jan/21;AAA  0100;0;0;0;0;0
jan/21;AAA  0111;37,225;4,374;0,001;4,29;11,353
jan/21;AAA  0112;199,697;5,877;0,006;26,339;29,901
jan/21;AAA  0104;100,032;4,944;0,003;11,102;22,208
jan/21;AAA  0103;115,696;4,495;0,003;15,944;24,403
jan/21;AAA  0110;100,619;4,715;0,003;10,025;28,235
jan/21;AAA  0108;145,67;4,909;0,004;16,943;32,342
jan/21;AAA  0113;155,163;5,229;0,005;16,361;27,922
jan/21;AAA  0102;216,576;6,115;0,006;25,602;32,833
jan/21;AAA  0105;172,821;5,185;0,005;18,807;36,895
jan/21;AAA  0114;222,526;5,811;0,007;22,567;33,696
jan/21;AAA  0115;286,838;6,034;0,008;34,952;43,673
jan/21;AAA  0107;378,782;6,836;0,011;28,601;42,456
jan/21;AAA  0109;419,398;6,707;0,012;48,49;63,952
jan/21;AAA  0106;323,234;6,299;0,009;20,944;49,707
fev/21;AAA  0101;0;0;0;0;0
fev/21;AAA  0100;0;0;0;0;0
fev/21;AAA  0111;34,343;4,353;0,001;3,977;10,255
fev/21;AAA  0112;186,675;6,067;0,006;24,616;27,008
fev/21;AAA  0104;96,52;5,171;0,003;11,086;20,059
fev/21;AAA  0103;100,456;4,658;0,003;13,115;22,042
fev/21;AAA  0110;89,68;4,36;0,003;8,15;25,502
fev/21;AAA  0108;130,011;4,796;0,004;14,76;29,212
fev/21;AAA  0113;147,452;5,213;0,005;15,002;25,22
fev/21;AAA  0102;198,654;6,143;0,006;22,959;29,655
fev/21;AAA  0105;152,955;5,101;0,005;16,408;33,324
fev/21;AAA  0114;211,066;5,923;0,007;21,218;30,435
fev/21;AAA  0115;261,267;6,108;0,008;32,22;39,446
fev/21;AAA  0107;334,445;6,745;0,011;25,678;38,348
fev/21;AAA  0109;361,765;6,46;0,012;40,416;57,763
fev/21;AAA  0106;304,13;6,401;0,01;20,482;44,896
mar/21;AAA  0101;0;0;0;0;0
mar/21;AAA  0100;0;0;0;0;0
mar/21;AAA  0111;40,462;4,512;0,001;5,451;11,376
mar/21;AAA  0112;213,45;6,183;0,006;36,531;30,787
mar/21;AAA  0104;116,688;5,603;0,003;13,22;23,168
mar/21;AAA  0103;119,469;4,689;0,004;18,971;25,225
mar/21;AAA  0110;138,421;6,089;0,004;15,589;28,294
mar/21;AAA  0108;143,94;4,83;0,004;18,58;33,123
mar/21;AAA  0113;153,033;4,935;0,005;15,866;29,44
mar/21;AAA  0102;218,229;6,123;0,006;27,676;33,071
mar/21;AAA  0105;177,036;5,222;0,005;22,298;37,341
mar/21;AAA  0114;225,292;5,738;0,007;24,155;34,449
mar/21;AAA  0115;304,732;6,351;0,009;37,553;44,223
mar/21;AAA  0107;390,79;7,076;0,012;29,046;45,298
mar/21;AAA  0109;406,844;6,374;0,012;48,43;64,6
mar/21;AAA  0106;337,993;6,438;0,01;24,428;50,763
abr/21;AAA  0101;0;0;0;0;0
abr/21;AAA  0100;0;0;0;0;0
abr/21;AAA  0111;37,075;4,492;0,001;4,94;11,009
abr/21;AAA  0112;185,645;5,969;0,006;31,487;29,794
abr/21;AAA  0104;102,574;5,529;0,003;11,461;22,421
abr/21;AAA  0103;108,419;4,632;0,004;15,939;24,055
abr/21;AAA  0110;98,506;5,006;0,003;10,093;27,382
abr/21;AAA  0108;150,933;5,55;0,005;22,859;32,054
abr/21;AAA  0113;137,123;4,915;0,005;13,557;28,49
abr/21;AAA  0102;213,629;6,491;0,007;29,822;32,004
abr/21;AAA  0105;155,911;5,14;0,005;18,876;36,137
abr/21;AAA  0114;203,079;5,634;0,007;21,097;33,338
abr/21;AAA  0115;281,341;6,435;0,009;35,106;42,797
abr/21;AAA  0107;342,281;6,967;0,011;23,895;43,787
abr/21;AAA  0109;348,16;6,221;0,012;41,002;62,516
abr/21;AAA  0106;317,508;6,502;0,011;23,231;49,018
mai/21;AAA  0101;0;0;0;0;0
mai/21;AAA  0100;0;0;0;0;0
mai/21;AAA  0111;39,535;4,439;0,001;5,522;11,376
mai/21;AAA  0112;194,449;6,158;0,006;31,871;30,787
mai/21;AAA  0104;118,117;6,004;0,004;13,16;23,168
mai/21;AAA  0103;117,356;4,809;0,004;17,667;25,225
mai/21;AAA  0110;103,608;5,173;0,003;10,523;28,294
mai/21;AAA  0108;135,091;4,915;0,004;16,277;33,123
mai/21;AAA  0113;137,48;4,876;0,004;13,562;29,44
mai/21;AAA  0102;205,878;6,126;0,006;25,504;33,071
mai/21;AAA  0105;148,697;4,684;0,005;14,179;37,341
mai/21;AAA  0114;210,651;5,768;0,007;21,943;34,449
mai/21;AAA  0115;277,366;6,268;0,009;33,463;44,223
mai/21;AAA  0107;337,079;6,529;0,01;18,351;45,298
mai/21;AAA  0109;354,876;6,149;0,011;41,678;64,6
mai/21;AAA  0106;354,669;6,927;0,011;26,052;50,808
jun/21;AAA  0101;0;0;0;0;0
jun/21;AAA  0100;0;0;0;0;0
jun/21;AAA  0111;40,146;4,411;0,001;5,693;11,009
jun/21;AAA  0112;187,295;6,173;0,006;31,616;29,794
jun/21;AAA  0104;105,199;5,691;0,003;11,714;22,421
jun/21;AAA  0103;109,303;4,714;0,004;16,483;24,412
jun/21;AAA  0110;96,615;4,914;0,003;9,894;27,382
jun/21;AAA  0108;129,056;4,854;0,004;15,48;32,054
jun/21;AAA  0113;136,972;4,915;0,004;13,404;28,49
jun/21;AAA  0102;198,357;6,049;0,006;24,639;32,004
jun/21;AAA  0105;150,684;5,06;0,005;17,966;36,137
jun/21;AAA  0114;265,455;7,089;0,009;27,305;33,338
jun/21;AAA  0115;254,784;6,104;0,008;30,243;43,034
jun/21;AAA  0107;336,288;6,609;0,011;18,917;43,837
jun/21;AAA  0109;352,133;6,237;0,012;42,336;62,516
jun/21;AAA  0106;325,819;6,62;0,011;23,457;48,305
jul/21;AAA  0101;0;0;0;0;0
jul/21;AAA  0100;0;0;0;0;0
jul/21;AAA  0111;38,192;4,432;0,001;5,02;11,376
jul/21;AAA  0112;185,896;6,125;0,006;30,98;30,787
jul/21;AAA  0104;106,912;5,628;0,003;11,811;23,168
jul/21;AAA  0103;117,233;4,971;0,004;16,672;26,168
jul/21;AAA  0110;98,081;4,957;0,003;10,006;28,294
jul/21;AAA  0108;136,047;5,01;0,004;17,779;33,123
jul/21;AAA  0113;135,633;4,949;0,004;12,783;29,44
jul/21;AAA  0102;203,499;6,265;0,007;24,269;33,071
jul/21;AAA  0105;143,189;4,656;0,005;13,222;37,341
jul/21;AAA  0114;201,896;5,724;0,006;21,596;34,494
jul/21;AAA  0115;256,292;6,099;0,008;31,377;44,796
jul/21;AAA  0107;332,727;6,537;0,011;17,464;45,298
